,Date Start,Country,Keywords,Source
69,"Jan 31, 2020",Sweden,"case reporting, first case, source tracing",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Sweden
71,"Feb 27, 2020",San Marino,"case reporting, first case, source tracing",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_San_Marino
121,"Feb 06, 2020",China,epidemic data,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-548
130,"Feb 10, 2020",China,event cancellation,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-573
138,"Feb 12, 2020",China,"public transport limitation lifted, social distancing",https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-594
141,"Feb 13, 2020",China,school closure,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-609
142,"Feb 13, 2020",China,"blanket house confinement, compulsory isolation",https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-610
143,"Feb 14, 2020",China,"blanket house confinement, compulsory isolation",https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-616
158,"Feb 14, 2020",China,"contact tracing, phone based location tracing, public transport occupancy tracing",https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-617
160,"Feb 14, 2020",China,"activity cancellation, school closure",https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-619
162,"Feb 15, 2020",China,business suspension,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-621
163,"Feb 15, 2020",China,"cash hygiene, public hygiene",https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-625
164,"Feb 16, 2020",China,"compulsory isolation, gatherings of any people banned, natural village quarantine",https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-628
166,"Feb 16, 2020",China,domestic travel resumed,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-633
168,"Feb 16, 2020",China,"contact tracing, phone based location tracing, public transport occupancy tracing",https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-643
239,"Feb 13, 2020",Spain,public announcement,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain
242,"Feb 28, 2020",Azerbaijan,international travel ban,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Azerbaijan
250,"Mar 10, 2020",Spain,"school closure, university closure",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#cite_note-267
277,"Mar 01, 2020",Belgium,"case reporting, public announcement",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium
284,"Mar 12, 2020",Bosnia and Herzegovina,business suspension,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bosnia_and_Herzegovina
295,"Mar 09, 2020",Cyprus,"case reporting, first case, source tracing",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Cyprus
317,"Mar 16, 2020",Finland,traveller quarantine,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Finland
363,"Mar 16, 2020",Georgia,"gathering of more than 500 people banned, public announcement",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(country)
372,"Mar 09, 2020",Guernsey,"case reporting, first case, source tracing",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Guernsey
381,"Mar 12, 2020",Netherlands,university closure,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Netherlands#cite_note-rivm:1-6
389,"Feb 26, 2020",Macedonia,"case reporting, first case, source tracing",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Macedonia#cite_note-13
393,"Mar 13, 2020",Iceland,social distancing,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iceland
398,"Feb 29, 2020",Ireland,"case reporting, source tracing",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland
399,"Mar 12, 2020",Lithuania,"business suspension, closure nonessential stores, social distancing",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Lithuania#cite_note-18
406,"Mar 15, 2020",Ireland,"compulsory isolation, social distancing",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland#cite_note-:3-2
407,"Mar 10, 2020",Jersey,"case reporting, source tracing",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Jersey
410,"Mar 13, 2020",Kosovo,cluster isolation,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kosovo
412,"Mar 13, 2020",Kazakhstan,"case reporting, source tracing",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kazakhstan
420,"Mar 16, 2020",Turkey,university closure,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Turkey
422,"Mar 12, 2020",Poland,"nursery schools closure, school closure, university closure",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Poland
452,"Mar 06, 2020",Slovakia,"case reporting, first case",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovakia
466,"Mar 14, 2020",Slovenia,public transport stopped,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia
478,"Mar 16, 2020",Switzerland,"business suspension, closure nonessential stores",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Switzerland
483,"Mar 16, 2020",Norway,international travel ban,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Norway
